threshold,precision,recall,specificity,f1_score
0.0,0.1969,1.0,0.0,0.329
0.0015,0.203,1.0,0.0374,0.3375
0.0017,0.2033,1.0,0.0393,0.338
0.0019,0.2038,1.0,0.0421,0.3386
0.0022,0.2035,0.9961,0.0441,0.338
0.0022,0.2042,0.9961,0.0479,0.3389
0.0027,0.2043,0.9961,0.0489,0.3391
0.0029,0.2058,0.9961,0.0575,0.3411
0.003,0.206,0.9961,0.0584,0.3414
0.0031,0.2068,0.9961,0.0632,0.3425
0.0031,0.2075,0.9961,0.067,0.3434
0.0033,0.2077,0.9961,0.068,0.3437
0.004,0.2088,0.9961,0.0747,0.3453
0.0045,0.209,0.9961,0.0757,0.3455
0.0045,0.2092,0.9961,0.0766,0.3458
0.0046,0.2097,0.9961,0.0795,0.3465
0.0047,0.2099,0.9961,0.0805,0.3467
0.0047,0.21,0.9961,0.0814,0.3469
0.0048,0.2102,0.9961,0.0824,0.3472
0.0049,0.2104,0.9961,0.0833,0.3474
0.0049,0.2106,0.9961,0.0843,0.3476
0.0049,0.2109,0.9961,0.0862,0.3481
0.005,0.2113,0.9961,0.0881,0.3486
0.0052,0.2114,0.9961,0.0891,0.3488
0.0052,0.2116,0.9961,0.09,0.3491
0.0053,0.2118,0.9961,0.091,0.3493
0.0053,0.212,0.9961,0.092,0.3496
0.0054,0.2121,0.9961,0.0929,0.3498
0.0054,0.2123,0.9961,0.0939,0.35
0.0054,0.2125,0.9961,0.0948,0.3503
0.0056,0.213,0.9961,0.0977,0.351
0.0056,0.2134,0.9961,0.0996,0.3515
0.0058,0.2139,0.9961,0.1025,0.3522
0.006,0.2141,0.9961,0.1034,0.3525
0.006,0.2143,0.9961,0.1044,0.3527
0.0062,0.2156,0.9961,0.1111,0.3544
0.0063,0.2157,0.9961,0.1121,0.3547
0.0063,0.2159,0.9961,0.113,0.3549
0.0064,0.2163,0.9961,0.1149,0.3554
0.0066,0.2167,0.9961,0.1169,0.3559
0.0067,0.2168,0.9961,0.1178,0.3561
0.0068,0.217,0.9961,0.1188,0.3564
0.007,0.2172,0.9961,0.1197,0.3566
0.0073,0.2174,0.9961,0.1207,0.3569
0.0073,0.2176,0.9961,0.1216,0.3571
0.0074,0.2178,0.9961,0.1226,0.3574
0.0076,0.2179,0.9961,0.1236,0.3576
0.0077,0.2183,0.9961,0.1255,0.3581
0.0078,0.2185,0.9961,0.1264,0.3584
0.0079,0.2187,0.9961,0.1274,0.3586
0.008,0.2189,0.9961,0.1284,0.3589
0.0083,0.2191,0.9961,0.1293,0.3592
0.0083,0.2194,0.9961,0.1312,0.3597
0.0084,0.22,0.9961,0.1341,0.3604
0.0084,0.2202,0.9961,0.1351,0.3607
0.0086,0.2204,0.9961,0.136,0.3609
0.0087,0.2206,0.9961,0.137,0.3612
0.0087,0.2208,0.9961,0.1379,0.3614
0.0089,0.221,0.9961,0.1389,0.3617
0.0089,0.2212,0.9961,0.1398,0.362
0.009,0.2214,0.9961,0.1408,0.3622
0.0091,0.2217,0.9961,0.1427,0.3627
0.0093,0.2219,0.9961,0.1437,0.363
0.0095,0.2221,0.9961,0.1446,0.3632
0.0096,0.2223,0.9961,0.1456,0.3635
0.0099,0.2225,0.9961,0.1466,0.3638
0.01,0.2227,0.9961,0.1475,0.364
0.01,0.2229,0.9961,0.1485,0.3643
0.0102,0.2231,0.9961,0.1494,0.3645
0.0103,0.2233,0.9961,0.1504,0.3648
0.0103,0.2237,0.9961,0.1523,0.3653
0.0104,0.2239,0.9961,0.1533,0.3656
0.0104,0.2241,0.9961,0.1542,0.3659
0.0105,0.2243,0.9961,0.1552,0.3661
0.0105,0.2245,0.9961,0.1561,0.3664
0.0106,0.2247,0.9961,0.1571,0.3666
0.0106,0.2249,0.9961,0.158,0.3669
0.0107,0.2251,0.9961,0.159,0.3672
0.0107,0.2253,0.9961,0.16,0.3674
0.0107,0.2255,0.9961,0.1609,0.3677
0.0109,0.2259,0.9961,0.1628,0.3682
0.011,0.2263,0.9961,0.1648,0.3688
0.0111,0.2265,0.9961,0.1657,0.369
0.0111,0.2267,0.9961,0.1667,0.3693
0.0111,0.2269,0.9961,0.1676,0.3696
0.0113,0.2271,0.9961,0.1686,0.3698
0.0114,0.2273,0.9961,0.1695,0.3701
0.0114,0.2275,0.9961,0.1705,0.3704
0.0114,0.2277,0.9961,0.1715,0.3706
0.0118,0.2279,0.9961,0.1724,0.3709
0.012,0.2281,0.9961,0.1734,0.3712
0.0123,0.2283,0.9961,0.1743,0.3714
0.0124,0.2285,0.9961,0.1753,0.3717
0.0126,0.2287,0.9961,0.1762,0.372
0.0126,0.2289,0.9961,0.1772,0.3723
0.0127,0.2293,0.9961,0.1791,0.3728
0.0127,0.2295,0.9961,0.1801,0.3731
0.0128,0.2297,0.9961,0.181,0.3734
0.0128,0.2299,0.9961,0.182,0.3736
0.0129,0.2301,0.9961,0.183,0.3739
0.013,0.2304,0.9961,0.1839,0.3742
0.013,0.2308,0.9961,0.1858,0.3747
0.0131,0.231,0.9961,0.1868,0.375
0.0132,0.2312,0.9961,0.1877,0.3753
0.0132,0.2316,0.9961,0.1897,0.3758
0.0134,0.2318,0.9961,0.1906,0.3761
0.0134,0.232,0.9961,0.1916,0.3764
0.0134,0.2322,0.9961,0.1925,0.3767
0.0135,0.2325,0.9961,0.1935,0.3769
0.0136,0.2327,0.9961,0.1944,0.3772
0.0136,0.2329,0.9961,0.1954,0.3775
0.0138,0.2331,0.9961,0.1964,0.3778
0.0138,0.2333,0.9961,0.1973,0.3781
0.0139,0.2335,0.9961,0.1983,0.3783
0.0141,0.2337,0.9961,0.1992,0.3786
0.0144,0.2339,0.9961,0.2002,0.3789
0.0146,0.2342,0.9961,0.2011,0.3792
0.0147,0.2344,0.9961,0.2021,0.3795
0.0152,0.2346,0.9961,0.2031,0.3797
0.0152,0.2348,0.9961,0.204,0.38
0.0153,0.235,0.9961,0.205,0.3803
0.0153,0.2352,0.9961,0.2059,0.3806
0.0153,0.2355,0.9961,0.2069,0.3809
0.0156,0.2357,0.9961,0.2079,0.3812
0.0156,0.2359,0.9961,0.2088,0.3815
0.0159,0.2361,0.9961,0.2098,0.3817
0.016,0.2363,0.9961,0.2107,0.382
0.0161,0.2365,0.9961,0.2117,0.3823
0.0163,0.2368,0.9961,0.2126,0.3826
0.0164,0.237,0.9961,0.2136,0.3829
0.0166,0.2374,0.9961,0.2155,0.3835
0.0166,0.2377,0.9961,0.2165,0.3837
0.017,0.2379,0.9961,0.2174,0.384
0.0173,0.2381,0.9961,0.2184,0.3843
0.0174,0.2383,0.9961,0.2193,0.3846
0.0176,0.2385,0.9961,0.2203,0.3849
0.0178,0.2388,0.9961,0.2213,0.3852
0.0178,0.239,0.9961,0.2222,0.3855
0.0178,0.2392,0.9961,0.2232,0.3858
0.0179,0.2394,0.9961,0.2241,0.3861
0.018,0.2397,0.9961,0.2251,0.3864
0.0181,0.2399,0.9961,0.2261,0.3867
0.0181,0.2401,0.9961,0.227,0.3869
0.0182,0.2403,0.9961,0.228,0.3872
0.0184,0.2406,0.9961,0.2289,0.3875
0.0185,0.2408,0.9961,0.2299,0.3878
0.0186,0.241,0.9961,0.2308,0.3881
0.0187,0.2412,0.9961,0.2318,0.3884
0.0187,0.2415,0.9961,0.2328,0.3887
0.0189,0.2417,0.9961,0.2337,0.389
0.019,0.2419,0.9961,0.2347,0.3893
0.019,0.2422,0.9961,0.2356,0.3896
0.019,0.2424,0.9961,0.2366,0.3899
0.0191,0.2426,0.9961,0.2375,0.3902
0.0195,0.2429,0.9961,0.2385,0.3905
0.0195,0.2431,0.9961,0.2395,0.3908
0.0195,0.2433,0.9961,0.2404,0.3911
0.0196,0.2436,0.9961,0.2414,0.3914
0.0196,0.2438,0.9961,0.2423,0.3917
0.0197,0.244,0.9961,0.2433,0.392
0.0197,0.2443,0.9961,0.2443,0.3923
0.0199,0.2445,0.9961,0.2452,0.3926
0.02,0.245,0.9961,0.2471,0.3932
0.02,0.2452,0.9961,0.2481,0.3935
0.02,0.2454,0.9961,0.249,0.3938
0.0201,0.2457,0.9961,0.25,0.3941
0.0204,0.2459,0.9961,0.251,0.3944
0.0205,0.2461,0.9961,0.2519,0.3947
0.0208,0.2464,0.9961,0.2529,0.395
0.0209,0.2466,0.9961,0.2538,0.3953
0.021,0.2469,0.9961,0.2548,0.3957
0.0211,0.2471,0.9961,0.2557,0.396
0.0212,0.2473,0.9961,0.2567,0.3963
0.0213,0.2476,0.9961,0.2577,0.3966
0.0218,0.2478,0.9961,0.2586,0.3969
0.0219,0.2481,0.9961,0.2596,0.3972
0.0219,0.2483,0.9961,0.2605,0.3975
0.022,0.2485,0.9961,0.2615,0.3978
0.0221,0.2488,0.9961,0.2625,0.3981
0.0223,0.249,0.9961,0.2634,0.3984
0.0224,0.2493,0.9961,0.2644,0.3987
0.0226,0.2495,0.9961,0.2653,0.3991
0.0228,0.2498,0.9961,0.2663,0.3994
0.0231,0.25,0.9961,0.2672,0.3997
0.0232,0.2502,0.9961,0.2682,0.4
0.0232,0.2505,0.9961,0.2692,0.4003
0.0236,0.2507,0.9961,0.2701,0.4006
0.0238,0.251,0.9961,0.2711,0.4009
0.0239,0.2502,0.9922,0.2711,0.3997
0.0239,0.2505,0.9922,0.272,0.4
0.0243,0.2507,0.9922,0.273,0.4003
0.0245,0.251,0.9922,0.2739,0.4006
0.0245,0.2512,0.9922,0.2749,0.4009
0.0246,0.2515,0.9922,0.2759,0.4013
0.0248,0.2517,0.9922,0.2768,0.4016
0.0249,0.252,0.9922,0.2778,0.4019
0.0251,0.2522,0.9922,0.2787,0.4022
0.0252,0.2525,0.9922,0.2797,0.4025
0.0255,0.2527,0.9922,0.2807,0.4029
0.0259,0.253,0.9922,0.2816,0.4032
0.026,0.2532,0.9922,0.2826,0.4035
0.0261,0.2535,0.9922,0.2835,0.4038
0.0261,0.2537,0.9922,0.2845,0.4041
0.0263,0.254,0.9922,0.2854,0.4045
0.0267,0.2543,0.9922,0.2864,0.4048
0.0268,0.2535,0.9883,0.2864,0.4035
0.0268,0.2538,0.9883,0.2874,0.4038
0.0269,0.254,0.9883,0.2883,0.4042
0.0272,0.2543,0.9883,0.2893,0.4045
0.0273,0.2545,0.9883,0.2902,0.4048
0.0275,0.2548,0.9883,0.2912,0.4051
0.0277,0.255,0.9883,0.2921,0.4054
0.0279,0.2553,0.9883,0.2931,0.4058
0.028,0.2556,0.9883,0.2941,0.4061
0.0281,0.2558,0.9883,0.295,0.4064
0.0281,0.2561,0.9883,0.296,0.4068
0.0281,0.2563,0.9883,0.2969,0.4071
0.0284,0.2566,0.9883,0.2979,0.4074
0.0285,0.2569,0.9883,0.2989,0.4077
0.0285,0.2571,0.9883,0.2998,0.4081
0.0285,0.2574,0.9883,0.3008,0.4084
0.029,0.2576,0.9883,0.3017,0.4087
0.0291,0.2579,0.9883,0.3027,0.4091
0.0291,0.2582,0.9883,0.3036,0.4094
0.0294,0.2584,0.9883,0.3046,0.4097
0.0298,0.2587,0.9883,0.3056,0.41
0.0298,0.259,0.9883,0.3065,0.4104
0.0302,0.2592,0.9883,0.3075,0.4107
0.0304,0.2595,0.9883,0.3084,0.411
0.0304,0.26,0.9883,0.3103,0.4117
0.0304,0.2603,0.9883,0.3113,0.4121
0.0307,0.2606,0.9883,0.3123,0.4124
0.0309,0.2608,0.9883,0.3132,0.4127
0.0309,0.2611,0.9883,0.3142,0.4131
0.031,0.2614,0.9883,0.3151,0.4134
0.0314,0.2616,0.9883,0.3161,0.4137
0.0317,0.2619,0.9883,0.317,0.4141
0.0321,0.2622,0.9883,0.318,0.4144
0.0321,0.2624,0.9883,0.319,0.4148
0.0323,0.2627,0.9883,0.3199,0.4151
0.0325,0.263,0.9883,0.3209,0.4154
0.0326,0.2633,0.9883,0.3218,0.4158
0.0328,0.2635,0.9883,0.3228,0.4161
0.0329,0.2638,0.9883,0.3238,0.4165
0.0333,0.2641,0.9883,0.3247,0.4168
0.0334,0.2644,0.9883,0.3257,0.4171
0.0337,0.2646,0.9883,0.3266,0.4175
0.0338,0.2649,0.9883,0.3276,0.4178
0.0339,0.2652,0.9883,0.3285,0.4182
0.034,0.2655,0.9883,0.3295,0.4185
0.0344,0.2658,0.9883,0.3305,0.4189
0.0345,0.266,0.9883,0.3314,0.4192
0.0347,0.2663,0.9883,0.3324,0.4196
0.0348,0.2655,0.9844,0.3324,0.4183
0.0349,0.2658,0.9844,0.3333,0.4186
0.0354,0.2661,0.9844,0.3343,0.419
0.0357,0.2664,0.9844,0.3352,0.4193
0.0358,0.2667,0.9844,0.3362,0.4197
0.0358,0.2672,0.9844,0.3381,0.4204
0.0359,0.2678,0.9844,0.34,0.4211
0.036,0.2681,0.9844,0.341,0.4214
0.0361,0.2684,0.9844,0.342,0.4218
0.0362,0.2687,0.9844,0.3429,0.4221
0.0363,0.2689,0.9844,0.3439,0.4225
0.0364,0.2692,0.9844,0.3448,0.4228
0.0369,0.2695,0.9844,0.3458,0.4232
0.0371,0.2698,0.9844,0.3467,0.4235
0.0371,0.2701,0.9844,0.3477,0.4239
0.0371,0.2704,0.9844,0.3487,0.4242
0.0372,0.2707,0.9844,0.3496,0.4246
0.0372,0.271,0.9844,0.3506,0.425
0.0374,0.2713,0.9844,0.3515,0.4253
0.0378,0.2716,0.9844,0.3525,0.4257
0.0381,0.2718,0.9844,0.3534,0.426
0.0381,0.2721,0.9844,0.3544,0.4264
0.0381,0.2724,0.9844,0.3554,0.4268
0.0382,0.2727,0.9844,0.3563,0.4271
0.0383,0.273,0.9844,0.3573,0.4275
0.0383,0.2733,0.9844,0.3582,0.4278
0.0384,0.2739,0.9844,0.3602,0.4286
0.0387,0.2742,0.9844,0.3611,0.4289
0.0387,0.2745,0.9844,0.3621,0.4293
0.0387,0.2748,0.9844,0.363,0.4297
0.039,0.2751,0.9844,0.364,0.43
0.0391,0.2754,0.9844,0.3649,0.4304
0.0393,0.2757,0.9844,0.3659,0.4308
0.0399,0.276,0.9844,0.3669,0.4311
0.04,0.2763,0.9844,0.3678,0.4315
0.0402,0.2766,0.9844,0.3688,0.4319
0.0403,0.2772,0.9844,0.3707,0.4326
0.0404,0.2775,0.9844,0.3716,0.433
0.041,0.2778,0.9844,0.3726,0.4334
0.0411,0.2781,0.9844,0.3736,0.4337
0.0412,0.2785,0.9844,0.3745,0.4341
0.0413,0.2791,0.9844,0.3764,0.4349
0.0416,0.2794,0.9844,0.3774,0.4352
0.0419,0.28,0.9844,0.3793,0.436
0.0421,0.2803,0.9844,0.3803,0.4364
0.0422,0.2806,0.9844,0.3812,0.4367
0.0424,0.2809,0.9844,0.3822,0.4371
0.0431,0.2812,0.9844,0.3831,0.4375
0.0432,0.2816,0.9844,0.3841,0.4379
0.0433,0.2819,0.9844,0.3851,0.4383
0.0433,0.2822,0.9844,0.386,0.4386
0.0433,0.2825,0.9844,0.387,0.439
0.0433,0.2828,0.9844,0.3879,0.4394
0.0433,0.2831,0.9844,0.3889,0.4398
0.0435,0.2835,0.9844,0.3898,0.4402
0.0438,0.2838,0.9844,0.3908,0.4406
0.0439,0.2841,0.9844,0.3918,0.4409
0.0441,0.2844,0.9844,0.3927,0.4413
0.0442,0.2851,0.9844,0.3946,0.4421
0.0442,0.2854,0.9844,0.3956,0.4425
0.0445,0.2857,0.9844,0.3966,0.4429
0.0448,0.286,0.9844,0.3975,0.4433
0.0448,0.2864,0.9844,0.3985,0.4437
0.0449,0.2867,0.9844,0.3994,0.4441
0.0449,0.287,0.9844,0.4004,0.4444
0.0457,0.2873,0.9844,0.4013,0.4448
0.0458,0.2877,0.9844,0.4023,0.4452
0.0461,0.288,0.9844,0.4033,0.4456
0.0463,0.2883,0.9844,0.4042,0.446
0.0466,0.2887,0.9844,0.4052,0.4464
0.0469,0.289,0.9844,0.4061,0.4468
0.0469,0.2893,0.9844,0.4071,0.4472
0.0469,0.2897,0.9844,0.408,0.4476
0.0469,0.29,0.9844,0.409,0.448
0.047,0.2903,0.9844,0.41,0.4484
0.0473,0.2907,0.9844,0.4109,0.4488
0.0473,0.291,0.9844,0.4119,0.4492
0.0475,0.2913,0.9844,0.4128,0.4496
0.0476,0.2917,0.9844,0.4138,0.45
0.0476,0.292,0.9844,0.4148,0.4504
0.0478,0.2923,0.9844,0.4157,0.4508
0.048,0.2927,0.9844,0.4167,0.4512
0.0481,0.293,0.9844,0.4176,0.4516
0.0481,0.2934,0.9844,0.4186,0.452
0.0482,0.2937,0.9844,0.4195,0.4524
0.0482,0.294,0.9844,0.4205,0.4528
0.0491,0.2944,0.9844,0.4215,0.4532
0.0493,0.2947,0.9844,0.4224,0.4536
0.0493,0.2951,0.9844,0.4234,0.4541
0.0499,0.2954,0.9844,0.4243,0.4545
0.05,0.2958,0.9844,0.4253,0.4549
0.0501,0.2961,0.9844,0.4262,0.4553
0.0506,0.2965,0.9844,0.4272,0.4557
0.051,0.2968,0.9844,0.4282,0.4561
0.0512,0.2972,0.9844,0.4291,0.4565
0.0512,0.2975,0.9844,0.4301,0.4569
0.0513,0.2979,0.9844,0.431,0.4574
0.0517,0.2982,0.9844,0.432,0.4578
0.0518,0.2986,0.9844,0.433,0.4582
0.0519,0.2989,0.9844,0.4339,0.4586
0.0519,0.2993,0.9844,0.4349,0.459
0.052,0.2996,0.9844,0.4358,0.4594
0.052,0.3,0.9844,0.4368,0.4599
0.0521,0.3004,0.9844,0.4377,0.4603
0.0522,0.3007,0.9844,0.4387,0.4607
0.0524,0.3011,0.9844,0.4397,0.4611
0.053,0.3014,0.9844,0.4406,0.4615
0.053,0.3018,0.9844,0.4416,0.462
0.053,0.3022,0.9844,0.4425,0.4624
0.053,0.3025,0.9844,0.4435,0.4628
0.0537,0.3029,0.9844,0.4444,0.4632
0.0537,0.3032,0.9844,0.4454,0.4637
0.054,0.3036,0.9844,0.4464,0.4641
0.0542,0.304,0.9844,0.4473,0.4645
0.0545,0.3031,0.9805,0.4473,0.4631
0.0547,0.3035,0.9805,0.4483,0.4635
0.055,0.3039,0.9805,0.4492,0.464
0.055,0.3042,0.9805,0.4502,0.4644
0.0552,0.3046,0.9805,0.4511,0.4648
0.0553,0.305,0.9805,0.4521,0.4652
0.0558,0.3054,0.9805,0.4531,0.4657
0.056,0.3057,0.9805,0.454,0.4661
0.0564,0.3061,0.9805,0.455,0.4665
0.0564,0.3065,0.9805,0.4559,0.467
0.0567,0.3068,0.9805,0.4569,0.4674
0.0568,0.3072,0.9805,0.4579,0.4678
0.0571,0.3076,0.9805,0.4588,0.4683
0.0573,0.308,0.9805,0.4598,0.4687
0.0574,0.3084,0.9805,0.4607,0.4692
0.058,0.3087,0.9805,0.4617,0.4696
0.0581,0.3091,0.9805,0.4626,0.47
0.0584,0.3095,0.9805,0.4636,0.4705
