threshold,precision,recall,specificity,f1_score
0.2617,0.527,0.8398,0.8151,0.6476
0.2618,0.5283,0.8398,0.8161,0.6486
0.262,0.5296,0.8398,0.817,0.6495
0.2627,0.5309,0.8398,0.818,0.6505
0.2628,0.5322,0.8398,0.819,0.6515
0.2637,0.531,0.8359,0.819,0.6495
0.2641,0.5323,0.8359,0.8199,0.6505
0.2649,0.5337,0.8359,0.8209,0.6514
0.265,0.535,0.8359,0.8218,0.6524
0.2651,0.5363,0.8359,0.8228,0.6534
0.2668,0.5377,0.8359,0.8238,0.6544
0.2668,0.539,0.8359,0.8247,0.6554
0.2673,0.5404,0.8359,0.8257,0.6564
0.2679,0.5392,0.832,0.8257,0.6544
0.2683,0.5406,0.832,0.8266,0.6554
0.2697,0.542,0.832,0.8276,0.6564
0.2734,0.5434,0.832,0.8285,0.6574
0.2745,0.541,0.8242,0.8285,0.6533
0.2747,0.5424,0.8242,0.8295,0.6543
0.2757,0.5438,0.8242,0.8305,0.6553
0.2814,0.5452,0.8242,0.8314,0.6563
0.2821,0.5466,0.8242,0.8324,0.6573
0.2833,0.5455,0.8203,0.8324,0.6552
0.2863,0.5469,0.8203,0.8333,0.6562
0.2864,0.5483,0.8203,0.8343,0.6573
0.287,0.5497,0.8203,0.8352,0.6583
0.2872,0.5512,0.8203,0.8362,0.6593
0.2873,0.55,0.8164,0.8362,0.6572
0.2883,0.5515,0.8164,0.8372,0.6583
0.2887,0.5529,0.8164,0.8381,0.6593
0.2908,0.5517,0.8125,0.8381,0.6572
0.2917,0.5505,0.8086,0.8381,0.6551
0.2929,0.552,0.8086,0.8391,0.6561
0.2937,0.5535,0.8086,0.84,0.6571
0.2945,0.555,0.8086,0.841,0.6582
0.2961,0.5565,0.8086,0.842,0.6592
0.2966,0.5553,0.8047,0.842,0.6571
0.2966,0.5568,0.8047,0.8429,0.6581
0.2982,0.5583,0.8047,0.8439,0.6592
0.299,0.5598,0.8047,0.8448,0.6603
0.2992,0.5613,0.8047,0.8458,0.6613
0.2992,0.5601,0.8008,0.8458,0.6592
0.2999,0.5589,0.7969,0.8458,0.657
0.302,0.562,0.7969,0.8477,0.6591
0.3037,0.5635,0.7969,0.8487,0.6602
0.3037,0.5651,0.7969,0.8496,0.6613
0.3041,0.5639,0.793,0.8496,0.6591
0.3042,0.5627,0.7891,0.8496,0.6569
0.3048,0.5642,0.7891,0.8506,0.658
0.3052,0.5658,0.7891,0.8515,0.6591
0.3076,0.5674,0.7891,0.8525,0.6601
0.3081,0.569,0.7891,0.8534,0.6612
0.3088,0.5706,0.7891,0.8544,0.6623
0.3099,0.5722,0.7891,0.8554,0.6634
0.3119,0.5739,0.7891,0.8563,0.6645
0.3124,0.5755,0.7891,0.8573,0.6656
0.3159,0.5771,0.7891,0.8582,0.6667
0.3163,0.5788,0.7891,0.8592,0.6678
0.318,0.5805,0.7891,0.8602,0.6689
0.318,0.5821,0.7891,0.8611,0.67
0.3181,0.5838,0.7891,0.8621,0.6711
0.3184,0.5855,0.7891,0.863,0.6722
0.3196,0.5843,0.7852,0.863,0.67
0.3202,0.5831,0.7812,0.863,0.6678
0.3207,0.5819,0.7773,0.863,0.6656
0.3208,0.5836,0.7773,0.864,0.6667
0.3212,0.5824,0.7734,0.864,0.6644
0.3242,0.5841,0.7734,0.8649,0.6655
0.325,0.5858,0.7734,0.8659,0.6667
0.3255,0.5846,0.7695,0.8659,0.6644
0.3256,0.5863,0.7695,0.8669,0.6655
0.3263,0.5851,0.7656,0.8669,0.6633
0.3264,0.5838,0.7617,0.8669,0.661
0.3264,0.5856,0.7617,0.8678,0.6621
0.327,0.5873,0.7617,0.8688,0.6633
0.3274,0.5891,0.7617,0.8697,0.6644
0.3285,0.5909,0.7617,0.8707,0.6655
0.3285,0.5927,0.7617,0.8716,0.6667
0.3305,0.5945,0.7617,0.8726,0.6678
0.3348,0.5933,0.7578,0.8726,0.6655
0.339,0.5951,0.7578,0.8736,0.6667
0.3415,0.5969,0.7578,0.8745,0.6678
0.3423,0.5988,0.7578,0.8755,0.669
0.3434,0.6006,0.7578,0.8764,0.6701
0.3438,0.6025,0.7578,0.8774,0.6713
0.3445,0.6012,0.7539,0.8774,0.669
0.3449,0.6031,0.7539,0.8784,0.6701
0.3451,0.605,0.7539,0.8793,0.6713
0.3453,0.6069,0.7539,0.8803,0.6725
0.3461,0.6088,0.7539,0.8812,0.6736
0.3466,0.6108,0.7539,0.8822,0.6748
0.348,0.6127,0.7539,0.8831,0.676
0.3482,0.6146,0.7539,0.8841,0.6772
0.3483,0.6134,0.75,0.8841,0.6749
0.3494,0.6154,0.75,0.8851,0.6761
0.35,0.6174,0.75,0.886,0.6772
0.3536,0.6194,0.75,0.887,0.6784
0.3541,0.6181,0.7461,0.887,0.6761
0.356,0.6201,0.7461,0.8879,0.6773
0.356,0.6176,0.7383,0.8879,0.6726
0.3564,0.6197,0.7383,0.8889,0.6738
0.3576,0.6217,0.7383,0.8898,0.675
0.3587,0.6205,0.7344,0.8898,0.6726
0.3594,0.6225,0.7344,0.8908,0.6738
0.3608,0.6246,0.7344,0.8918,0.675
0.3618,0.6233,0.7305,0.8918,0.6727
0.3628,0.6254,0.7305,0.8927,0.6739
0.3634,0.6242,0.7266,0.8927,0.6715
0.3643,0.6263,0.7266,0.8937,0.6727
0.3647,0.6284,0.7266,0.8946,0.6739
0.365,0.6305,0.7266,0.8956,0.6751
0.3683,0.6327,0.7266,0.8966,0.6764
0.3687,0.6314,0.7227,0.8966,0.674
0.3709,0.6301,0.7188,0.8966,0.6715
0.3717,0.6323,0.7188,0.8975,0.6728
0.3721,0.6345,0.7188,0.8985,0.674
0.3731,0.6367,0.7188,0.8994,0.6752
0.3755,0.6354,0.7148,0.8994,0.6728
0.3761,0.6376,0.7148,0.9004,0.674
0.3777,0.6399,0.7148,0.9013,0.6753
0.383,0.6421,0.7148,0.9023,0.6765
0.3846,0.6408,0.7109,0.9023,0.6741
0.3847,0.6431,0.7109,0.9033,0.6753
0.3926,0.6454,0.7109,0.9042,0.6766
0.3936,0.6441,0.707,0.9042,0.6741
0.3942,0.6464,0.707,0.9052,0.6754
0.3961,0.6487,0.707,0.9061,0.6766
0.3961,0.6475,0.7031,0.9061,0.6742
0.3962,0.6498,0.7031,0.9071,0.6754
0.3964,0.6545,0.7031,0.909,0.678
0.3965,0.6569,0.7031,0.91,0.6792
0.3976,0.6593,0.7031,0.9109,0.6805
0.3986,0.6618,0.7031,0.9119,0.6818
0.399,0.6642,0.7031,0.9128,0.6831
0.3991,0.6667,0.7031,0.9138,0.6844
0.3999,0.6691,0.7031,0.9148,0.6857
0.4003,0.6716,0.7031,0.9157,0.687
0.4005,0.6704,0.6992,0.9157,0.6845
0.4006,0.6729,0.6992,0.9167,0.6858
0.4023,0.6755,0.6992,0.9176,0.6871
0.4051,0.678,0.6992,0.9186,0.6885
0.4083,0.6768,0.6953,0.9186,0.6859
0.4089,0.6794,0.6953,0.9195,0.6873
0.4098,0.682,0.6953,0.9205,0.6886
0.4099,0.6808,0.6914,0.9205,0.686
0.4111,0.6834,0.6914,0.9215,0.6874
0.4119,0.686,0.6914,0.9224,0.6887
0.4131,0.6848,0.6875,0.9224,0.6862
0.4142,0.6875,0.6875,0.9234,0.6875
0.4151,0.6902,0.6875,0.9243,0.6888
0.4163,0.689,0.6836,0.9243,0.6863
0.4176,0.6944,0.6836,0.9262,0.689
0.4201,0.6972,0.6836,0.9272,0.6903
0.4208,0.7,0.6836,0.9282,0.6917
0.4216,0.6988,0.6797,0.9282,0.6891
0.4229,0.6976,0.6758,0.9282,0.6865
0.423,0.7004,0.6758,0.9291,0.6879
0.4257,0.7033,0.6758,0.9301,0.6892
0.4263,0.7061,0.6758,0.931,0.6906
0.4272,0.709,0.6758,0.932,0.692
0.4287,0.7119,0.6758,0.933,0.6934
0.4288,0.7149,0.6758,0.9339,0.6948
0.4296,0.7137,0.6719,0.9339,0.6922
0.4307,0.7167,0.6719,0.9349,0.6935
0.4361,0.7155,0.668,0.9349,0.6909
0.4364,0.7185,0.668,0.9358,0.6923
0.4378,0.7215,0.668,0.9368,0.6937
0.438,0.7246,0.668,0.9377,0.6951
0.4399,0.7277,0.668,0.9387,0.6965
0.4403,0.7265,0.6641,0.9387,0.6939
0.4409,0.7296,0.6641,0.9397,0.6953
0.4418,0.7284,0.6602,0.9397,0.6926
0.4429,0.7273,0.6562,0.9397,0.6899
0.4461,0.7304,0.6562,0.9406,0.6914
0.4473,0.7336,0.6562,0.9416,0.6928
0.4482,0.7368,0.6562,0.9425,0.6942
0.4562,0.7401,0.6562,0.9435,0.6957
0.459,0.7389,0.6523,0.9435,0.6929
0.4609,0.7422,0.6523,0.9444,0.6944
0.4609,0.7411,0.6484,0.9444,0.6917
0.4626,0.7399,0.6445,0.9444,0.6889
0.4631,0.7432,0.6445,0.9454,0.6904
0.4638,0.7421,0.6406,0.9454,0.6876
0.4691,0.7409,0.6367,0.9454,0.6849
0.4714,0.7443,0.6367,0.9464,0.6863
0.4752,0.7477,0.6367,0.9473,0.6878
0.4762,0.7465,0.6328,0.9473,0.685
0.4764,0.7454,0.6289,0.9473,0.6822
0.4766,0.7442,0.625,0.9473,0.6794
0.4767,0.743,0.6211,0.9473,0.6766
0.4769,0.7465,0.6211,0.9483,0.678
0.4783,0.75,0.6211,0.9492,0.6795
0.4834,0.7488,0.6172,0.9492,0.6767
0.4843,0.7524,0.6172,0.9502,0.6781
0.486,0.7512,0.6133,0.9502,0.6753
0.4869,0.75,0.6094,0.9502,0.6724
0.4873,0.7536,0.6094,0.9511,0.6739
0.494,0.7524,0.6055,0.9511,0.671
0.4974,0.7561,0.6055,0.9521,0.6725
0.4979,0.7549,0.6016,0.9521,0.6696
0.4982,0.7537,0.5977,0.9521,0.6667
0.4997,0.7574,0.5977,0.9531,0.6681
0.5011,0.7562,0.5938,0.9531,0.6652
0.5017,0.76,0.5938,0.954,0.6667
0.5054,0.7638,0.5938,0.955,0.6681
0.5064,0.7677,0.5938,0.9559,0.6696
0.5067,0.7665,0.5898,0.9559,0.6667
0.5093,0.7653,0.5859,0.9559,0.6637
0.5128,0.7692,0.5859,0.9569,0.6652
0.517,0.7732,0.5859,0.9579,0.6667
0.5173,0.7772,0.5859,0.9588,0.6682
0.5175,0.776,0.582,0.9588,0.6652
0.5181,0.7801,0.582,0.9598,0.6667
0.5226,0.7842,0.582,0.9607,0.6682
0.5253,0.7884,0.582,0.9617,0.6697
0.537,0.7926,0.582,0.9626,0.6712
0.5381,0.7914,0.5781,0.9626,0.6682
0.5413,0.7903,0.5742,0.9626,0.6652
0.5454,0.7946,0.5742,0.9636,0.6667
0.5457,0.7989,0.5742,0.9646,0.6682
0.5586,0.7978,0.5703,0.9646,0.6651
0.5613,0.8022,0.5703,0.9655,0.6667
0.5624,0.8066,0.5703,0.9665,0.6682
0.5625,0.8111,0.5703,0.9674,0.6697
0.5639,0.8156,0.5703,0.9684,0.6713
0.5643,0.8146,0.5664,0.9684,0.6682
0.5646,0.8136,0.5625,0.9684,0.6651
0.5653,0.8125,0.5586,0.9684,0.662
0.5708,0.8114,0.5547,0.9684,0.6589
0.5772,0.8103,0.5508,0.9684,0.6558
0.5775,0.8092,0.5469,0.9684,0.6527
0.5779,0.814,0.5469,0.9693,0.6542
0.578,0.8129,0.543,0.9693,0.6511
0.579,0.8118,0.5391,0.9693,0.6479
0.5792,0.8166,0.5391,0.9703,0.6494
0.5804,0.8214,0.5391,0.9713,0.6509
0.5813,0.8204,0.5352,0.9713,0.6478
0.5823,0.8193,0.5312,0.9713,0.6445
0.5848,0.8242,0.5312,0.9722,0.6461
0.5876,0.8232,0.5273,0.9722,0.6429
0.5906,0.8282,0.5273,0.9732,0.6444
0.5967,0.8272,0.5234,0.9732,0.6411
0.5993,0.8323,0.5234,0.9741,0.6427
0.6,0.8302,0.5156,0.9741,0.6361
0.6036,0.8291,0.5117,0.9741,0.6329
0.6039,0.828,0.5078,0.9741,0.6295
0.6066,0.8333,0.5078,0.9751,0.6311
0.6072,0.8387,0.5078,0.9761,0.6326
0.6086,0.8442,0.5078,0.977,0.6341
0.6101,0.8431,0.5039,0.977,0.6308
0.6104,0.8487,0.5039,0.978,0.6324
0.6113,0.8543,0.5039,0.9789,0.6339
0.6118,0.86,0.5039,0.9799,0.6355
0.6136,0.8591,0.5,0.9799,0.6321
0.6149,0.8581,0.4961,0.9799,0.6287
0.6173,0.8571,0.4922,0.9799,0.6253
0.619,0.8562,0.4883,0.9799,0.6219
0.6198,0.8552,0.4844,0.9799,0.6185
0.622,0.8542,0.4805,0.9799,0.615
0.6239,0.8601,0.4805,0.9808,0.6165
0.6249,0.8592,0.4766,0.9808,0.6131
0.6264,0.8582,0.4727,0.9808,0.6096
0.6268,0.8571,0.4688,0.9808,0.6061
0.6273,0.8561,0.4648,0.9808,0.6025
0.629,0.8623,0.4648,0.9818,0.6041
0.6292,0.8613,0.4609,0.9818,0.6005
0.6303,0.8676,0.4609,0.9828,0.602
0.6326,0.8741,0.4609,0.9837,0.6036
0.6371,0.8731,0.457,0.9837,0.6
0.6373,0.8797,0.457,0.9847,0.6015
0.6444,0.8864,0.457,0.9856,0.6031
0.6485,0.8855,0.4531,0.9856,0.5995
0.6488,0.8846,0.4492,0.9856,0.5959
0.6521,0.8837,0.4453,0.9856,0.5922
0.6537,0.8906,0.4453,0.9866,0.5938
0.6559,0.8898,0.4414,0.9866,0.5901
0.6587,0.8889,0.4375,0.9866,0.5864
0.6615,0.888,0.4336,0.9866,0.5827
0.6631,0.9024,0.4336,0.9885,0.5858
0.6637,0.9016,0.4297,0.9885,0.582
0.6657,0.9091,0.4297,0.9895,0.5836
0.6664,0.9083,0.4258,0.9895,0.5798
0.6669,0.9076,0.4219,0.9895,0.576
0.6746,0.9068,0.418,0.9895,0.5722
0.6755,0.906,0.4141,0.9895,0.5684
0.6814,0.9052,0.4102,0.9895,0.5645
0.682,0.9035,0.4023,0.9895,0.5568
0.6849,0.9027,0.3984,0.9895,0.5528
0.6852,0.9018,0.3945,0.9895,0.5489
0.6871,0.9009,0.3906,0.9895,0.545
0.6875,0.9091,0.3906,0.9904,0.5464
0.6922,0.9083,0.3867,0.9904,0.5425
0.6941,0.9074,0.3828,0.9904,0.5385
0.7029,0.9065,0.3789,0.9904,0.5344
0.704,0.9057,0.375,0.9904,0.5304
0.7069,0.9048,0.3711,0.9904,0.5263
0.7092,0.9135,0.3711,0.9914,0.5278
0.7126,0.9126,0.3672,0.9914,0.5237
0.7145,0.9118,0.3633,0.9914,0.5196
0.7169,0.9208,0.3633,0.9923,0.521
0.72,0.92,0.3594,0.9923,0.5169
0.7204,0.9192,0.3555,0.9923,0.5127
0.7228,0.9184,0.3516,0.9923,0.5085
0.7263,0.9175,0.3477,0.9923,0.5042
0.7298,0.9167,0.3438,0.9923,0.5
0.7303,0.9263,0.3438,0.9933,0.5014
0.7344,0.9255,0.3398,0.9933,0.4971
0.7363,0.9247,0.3359,0.9933,0.4928
0.7369,0.9239,0.332,0.9933,0.4885
0.7384,0.9231,0.3281,0.9933,0.4841
0.7398,0.9222,0.3242,0.9933,0.4798
0.7405,0.9213,0.3203,0.9933,0.4754
0.7408,0.9205,0.3164,0.9933,0.4709
0.7449,0.9195,0.3125,0.9933,0.4665
0.7463,0.9186,0.3086,0.9933,0.462
0.7474,0.9176,0.3047,0.9933,0.4575
0.751,0.9286,0.3047,0.9943,0.4588
0.7523,0.9277,0.3008,0.9943,0.4543
0.7538,0.939,0.3008,0.9952,0.4556
0.7653,0.9383,0.2969,0.9952,0.451
0.7663,0.9375,0.293,0.9952,0.4464
0.7687,0.9367,0.2891,0.9952,0.4418
0.7723,0.9359,0.2852,0.9952,0.4371
0.7772,0.9351,0.2812,0.9952,0.4324
0.7803,0.9342,0.2773,0.9952,0.4277
0.7813,0.9333,0.2734,0.9952,0.423
0.7817,0.9324,0.2695,0.9952,0.4182
0.7843,0.9452,0.2695,0.9962,0.4195
0.7862,0.9444,0.2656,0.9962,0.4146
0.7863,0.9437,0.2617,0.9962,0.4098
0.7866,0.942,0.2539,0.9962,0.4
0.7867,0.9412,0.25,0.9962,0.3951
0.7871,0.9403,0.2461,0.9962,0.3901
0.7874,0.9394,0.2422,0.9962,0.3851
0.7912,0.9385,0.2383,0.9962,0.3801
0.7944,0.9531,0.2383,0.9971,0.3812
0.8007,0.9524,0.2344,0.9971,0.3762
0.8017,0.9516,0.2305,0.9971,0.3711
0.8047,0.9508,0.2266,0.9971,0.3659
0.8082,0.95,0.2227,0.9971,0.3608
0.8117,0.9492,0.2188,0.9971,0.3556
0.8118,0.9483,0.2148,0.9971,0.3503
0.8174,0.9474,0.2109,0.9971,0.345
0.8185,0.9464,0.207,0.9971,0.3397
0.8216,0.9455,0.2031,0.9971,0.3344
0.823,0.9444,0.1992,0.9971,0.329
0.8236,0.9434,0.1953,0.9971,0.3236
0.8277,0.9615,0.1953,0.9981,0.3247
0.8295,0.9608,0.1914,0.9981,0.3192
0.8295,0.96,0.1875,0.9981,0.3137
0.8297,0.9592,0.1836,0.9981,0.3082
0.8319,0.9583,0.1797,0.9981,0.3026
0.8345,0.9574,0.1758,0.9981,0.297
0.8374,0.9783,0.1758,0.999,0.298
0.8397,0.9778,0.1719,0.999,0.2924
0.8505,0.9773,0.168,0.999,0.2867
0.8513,0.9767,0.1641,0.999,0.2809
0.852,0.9762,0.1602,0.999,0.2752
0.8526,0.9756,0.1562,0.999,0.2694
0.8612,1.0,0.1562,1.0,0.2703
0.8635,1.0,0.1523,1.0,0.2644
0.8667,1.0,0.1484,1.0,0.2585
0.8692,1.0,0.1445,1.0,0.2526
0.8712,1.0,0.1367,1.0,0.2405
0.8739,1.0,0.1328,1.0,0.2345
0.8769,1.0,0.1289,1.0,0.2284
0.8796,1.0,0.125,1.0,0.2222
0.8821,1.0,0.1211,1.0,0.216
0.8869,1.0,0.1172,1.0,0.2098
0.8875,1.0,0.1094,1.0,0.1972
0.8911,1.0,0.1055,1.0,0.1908
0.8939,1.0,0.1016,1.0,0.1844
0.9018,1.0,0.0977,1.0,0.1779
0.9051,1.0,0.0938,1.0,0.1714
0.907,1.0,0.0898,1.0,0.1649
0.9071,1.0,0.0859,1.0,0.1583
0.9123,1.0,0.082,1.0,0.1516
0.9143,1.0,0.0781,1.0,0.1449
0.9147,1.0,0.0742,1.0,0.1382
0.9211,1.0,0.0703,1.0,0.1314
0.9316,1.0,0.0664,1.0,0.1245
0.9324,1.0,0.0625,1.0,0.1176
0.9338,1.0,0.0586,1.0,0.1107
0.954,1.0,0.0547,1.0,0.1037
0.9597,1.0,0.0508,1.0,0.0967
0.9629,1.0,0.043,1.0,0.0824
0.9631,1.0,0.0391,1.0,0.0752
0.9715,1.0,0.0352,1.0,0.0679
0.9745,1.0,0.0312,1.0,0.0606
0.9807,1.0,0.0234,1.0,0.0458
0.9972,1.0,0.0156,1.0,0.0308
0.998,1.0,0.0117,1.0,0.0232
0.9991,1.0,0.0078,1.0,0.0155
